Date	Unit Count	Order Count	Sales
2024-01-21	4	4	99.96
2024-01-22	7	7	174.93
2024-01-23	6	5	149.94
2024-01-24	1	1	24.99
2024-01-25	3	3	74.97
2024-01-26	3	3	74.97
2024-01-27	2	2	49.98
2024-01-28	1	1	24.99
2024-01-29	2	2	49.98
2024-01-30	4	4	99.96
2024-01-31	7	4	174.93
2024-02-01	2	2	49.98
2024-02-02	4	3	99.96
2024-02-03	2	2	49.98
2024-02-04	1	1	24.99
2024-02-05	5	4	124.95
2024-02-06	5	5	124.95
2024-02-07	5	4	124.95
2024-02-08	5	3	124.95
2024-02-09	4	4	99.96
2024-02-10	4	4	99.96
2024-02-11	5	5	124.95
2024-02-12	5	5	124.95
2024-02-13	1	1	24.99
2024-02-14	6	3	149.94
2024-02-15	6	4	149.94
2024-02-16	4	4	99.96
2024-02-17	3	3	74.97
2024-02-18	1	1	24.99
2024-02-19	1	1	24.99
2024-02-20	8	6	199.92
2024-02-21	4	3	99.96
2024-02-22	8	5	199.92
2024-02-23	4	3	99.96
2024-02-24	3	3	74.97
2024-02-25	1	1	24.99
2024-02-26	6	5	149.94
2024-02-27	2	2	49.98
2024-02-28	7	6	174.93
2024-02-29	11	8	274.89
2024-03-01	2	1	49.98
2024-03-02	2	2	49.98
2024-03-03	2	2	49.98
2024-03-04	4	4	99.96
2024-03-05	1	1	24.99
2024-03-06	7	5	174.93
2024-03-07	6	4	149.94
2024-03-08	4	3	99.96
2024-03-09	5	3	124.95
2024-03-10	3	3	74.97
2024-03-11	3	3	74.97
2024-03-12	2	2	49.98
2024-03-13	3	1	74.97
2024-03-14	4	4	99.96
2024-03-15	6	6	149.94
2024-03-16	1	1	24.99
2024-03-17	3	3	49.98
2024-03-18	3	3	74.97
2024-03-19	1	1	24.99
2024-03-20	2	2	49.98
2024-03-21	2	2	49.98
2024-03-22	1	1	24.99
2024-03-23	3	3	74.97
2024-03-24	3	3	74.97
2024-03-25	3	3	74.97
2024-03-26	3	3	74.97
2024-03-27	2	2	49.98
2024-03-28	7	5	174.93
2024-03-29	6	3	149.94
2024-03-30	4	4	99.96
2024-03-31	2	2	49.98
2024-04-01	5	5	124.95
2024-04-02	1	1	24.99
2024-04-03	0	0	0.0
2024-04-04	2	2	49.98
2024-04-05	0	0	0.0
2024-04-06	1	1	24.99
2024-04-07	1	1	24.99
2024-04-08	3	2	74.97
2024-04-09	1	1	24.99
2024-04-10	1	1	24.99
2024-04-11	1	1	24.99
2024-04-12	1	1	24.99
2024-04-13	4	1	99.96
2024-04-14	2	2	49.98
2024-04-15	1	1	24.99
2024-04-16	4	4	99.96
2024-04-17	2	2	49.98
2024-04-18	2	2	49.98
2024-04-19	0	0	0.0
2024-04-20	1	1	24.99
2024-04-21	0	0	0.0
2024-04-22	4	4	99.96
2024-04-23	4	4	99.96
2024-04-24	1	1	24.99
2024-04-25	1	1	24.99
2024-04-26	0	0	0.0
2024-04-27	2	2	49.98
2024-04-28	2	2	49.98
2024-04-29	2	2	49.98
2024-04-30	0	0	0.0
2024-05-01	1	1	24.99
2024-05-02	3	3	74.97
2024-05-03	5	2	124.95
2024-05-04	1	1	24.99
2024-05-05	2	2	49.98
2024-05-06	3	3	74.97
2024-05-07	2	2	49.98
2024-05-08	3	3	74.97
2024-05-09	1	1	24.99
2024-05-10	0	0	0.0
2024-05-11	0	0	0.0
2024-05-12	0	0	0.0
2024-05-13	1	1	24.99
2024-05-14	2	2	49.98
2024-05-15	1	1	24.99
2024-05-16	20	1	499.8
2024-05-17	3	3	74.97
2024-05-18	2	2	49.98
2024-05-19	5	4	124.95
2024-05-20	1	1	24.99
2024-05-21	0	0	0.0
2024-05-22	1	1	24.99
2024-05-23	0	0	0.0
2024-05-24	1	1	24.99
2024-05-25	0	0	0.0
2024-05-26	0	0	0.0
2024-05-27	1	1	24.99
2024-05-28	5	2	124.95
2024-05-29	1	1	24.99
2024-05-30	1	1	24.99
2024-05-31	3	3	74.97
2024-06-01	3	3	74.97
2024-06-02	0	0	0.0
2024-06-03	1	1	24.99
2024-06-04	1	1	24.99
2024-06-05	3	3	74.97
2024-06-06	1	1	24.99
2024-06-07	2	1	49.98
2024-06-08	3	3	74.97
2024-06-09	3	3	74.97
2024-06-10	0	0	0.0
2024-06-11	2	2	49.98
2024-06-12	1	1	24.99
2024-06-13	7	6	174.93
2024-06-14	0	0	0.0
2024-06-15	1	1	24.99
2024-06-16	1	1	24.99
2024-06-17	5	5	124.95
2024-06-18	2	2	49.98
2024-06-19	2	2	49.98
2024-06-20	3	3	74.97
2024-06-21	1	1	24.99
2024-06-22	2	2	49.98
2024-06-23	1	1	24.99
2024-06-24	0	0	0.0
2024-06-25	1	1	24.99
2024-06-26	2	2	49.98
2024-06-27	5	2	124.95
2024-06-28	2	2	49.98
2024-06-29	1	1	24.99
2024-06-30	0	0	0.0
2024-07-01	5	5	124.95
2024-07-02	1	1	24.99
2024-07-03	5	4	124.95
2024-07-04	1	1	24.99
2024-07-05	3	3	74.97
2024-07-06	1	1	24.99
2024-07-07	1	1	24.99
2024-07-08	6	3	149.94
2024-07-09	3	3	74.97
2024-07-10	3	3	74.97
2024-07-11	1	1	24.99
2024-07-12	4	4	99.96
2024-07-13	1	1	24.99
2024-07-14	0	0	0.0
2024-07-15	1	1	24.99
2024-07-16	4	3	99.96
2024-07-17	3	3	74.97
2024-07-18	1	1	24.99
2024-07-19	1	1	24.99
2024-07-20	0	0	0.0
2024-07-21	3	3	74.97
2024-07-22	4	4	99.96
2024-07-23	4	4	99.96
2024-07-24	0	0	0.0
2024-07-25	0	0	0.0
2024-07-26	2	2	49.98
2024-07-27	1	1	24.99
2024-07-28	2	2	49.98
2024-07-29	2	2	49.98
2024-07-30	1	1	24.99
2024-07-31	5	4	124.95
2024-08-01	1	1	24.99
2024-08-02	0	0	0.0
2024-08-03	1	1	24.99
2024-08-04	1	1	24.99
2024-08-05	2	2	49.98
2024-08-06	1	1	24.99
2024-08-07	7	2	174.93
2024-08-08	0	0	0.0
2024-08-09	0	0	0.0
2024-08-10	4	4	99.96
2024-08-11	1	1	24.99
2024-08-12	2	2	49.98
2024-08-13	0	0	0.0
2024-08-14	5	4	124.95
2024-08-15	2	2	49.98
2024-08-16	3	3	74.97
2024-08-17	6	2	149.94
2024-08-18	1	1	24.99
2024-08-19	4	4	99.96
2024-08-20	12	4	299.88
2024-08-21	2	2	49.98
2024-08-22	2	2	49.98
2024-08-23	1	1	24.99
2024-08-24	1	1	24.99
2024-08-25	2	2	49.98
2024-08-26	1	1	24.99
2024-08-27	2	1	49.98
2024-08-28	6	2	149.94
2024-08-29	2	2	49.98
2024-08-30	3	3	74.97
2024-08-31	0	0	0.0
2024-09-01	1	1	24.99
2024-09-02	3	3	74.97
2024-09-03	1	1	24.99
2024-09-04	3	3	74.97
2024-09-05	0	0	0.0
2024-09-06	6	4	149.94
2024-09-07	0	0	0.0
2024-09-08	1	1	24.99
2024-09-09	3	3	74.97
2024-09-10	3	3	74.97
2024-09-11	0	0	0.0
