Date	Unit Count	Order Count	Sales
2024-05-08	9	9	224.91
2024-05-09	7	6	174.93
2024-05-10	9	8	224.91
2024-05-11	5	5	124.95
2024-05-12	9	9	224.91
2024-05-13	13	12	324.87
2024-05-14	11	10	274.89
2024-05-15	13	13	324.87
2024-05-16	9	8	224.91
2024-05-17	10	10	249.9
2024-05-18	5	5	124.95
2024-05-19	14	11	349.86
2024-05-20	12	12	299.88
2024-05-21	12	12	299.88
2024-05-22	17	16	424.83
2024-05-23	13	12	324.87
2024-05-24	11	11	274.89
2024-05-25	7	7	174.93
2024-05-26	3	3	74.97
2024-05-27	6	6	124.95
2024-05-28	12	11	299.88
2024-05-29	14	13	349.86
2024-05-30	9	7	224.91
2024-05-31	9	9	224.91
2024-06-01	5	5	124.95
2024-06-02	10	10	249.9
2024-06-03	8	8	199.92
2024-06-04	11	10	274.89
2024-06-05	12	12	299.88
2024-06-06	15	15	374.85
2024-06-07	8	8	199.92
2024-06-08	9	8	224.91
2024-06-09	10	10	224.91
2024-06-10	13	10	324.87
2024-06-11	13	13	324.87
2024-06-12	19	15	474.81
2024-06-13	8	7	199.92
2024-06-14	7	7	174.93
2024-06-15	9	8	224.91
2024-06-16	8	7	199.92
2024-06-17	12	11	299.88
2024-06-18	10	10	249.9
2024-06-19	12	12	299.88
2024-06-20	15	11	374.85
2024-06-21	4	4	99.96
2024-06-22	12	12	299.88
2024-06-23	9	9	224.91
2024-06-24	8	7	199.92
2024-06-25	10	10	249.9
2024-06-26	9	9	224.91
2024-06-27	13	12	324.87
2024-06-28	3	3	74.97
2024-06-29	8	8	199.92
2024-06-30	9	9	224.91
2024-07-01	13	13	324.87
2024-07-02	10	10	224.91
2024-07-03	7	6	174.93
2024-07-04	7	7	174.93
2024-07-05	12	12	299.88
2024-07-06	10	10	249.9
2024-07-07	6	6	149.94
2024-07-08	13	13	324.87
2024-07-09	12	12	299.88
2024-07-10	10	8	249.9
2024-07-11	18	11	449.82
2024-07-12	12	12	299.88
2024-07-13	12	12	299.88
2024-07-14	8	7	199.92
2024-07-15	14	14	324.87
2024-07-16	16	11	399.84
2024-07-17	19	16	474.81
2024-07-18	11	9	274.89
2024-07-19	15	14	374.85
2024-07-20	6	6	149.94
2024-07-21	9	9	224.91
2024-07-22	14	14	349.86
2024-07-23	5	5	124.95
2024-07-24	8	7	199.92
2024-07-25	9	8	224.91
2024-07-26	7	6	174.93
2024-07-27	6	6	149.94
2024-07-28	11	11	274.89
2024-07-29	14	14	349.86
